datetime,open,high,low,close,volume
2011-07-20,1.07218,1.07597,1.071,1.0741400000000000,0
2011-07-21,1.0741400000000000,1.0855700000000000,1.06931,1.08356,0
2011-07-22,1.08338,1.0873900000000000,1.08191,1.08437,0
2011-07-25,1.0846200000000000,1.08764,1.0795300000000000,1.0847200000000000,0
2011-07-26,1.08467,1.09676,1.08207,1.09555,0
2011-07-27,1.09553,1.1079700000000000,1.09429,1.1023400000000000,5087750000
2011-07-28,1.1023400000000000,1.1074,1.0975,1.10059,33271744400
2011-07-29,1.10057,1.1017300000000000,1.0910800000000000,1.09904,0
2011-08-01,1.0993900000000000,1.10648,1.0922100000000000,1.09674,0
2011-08-02,1.09675,1.10058,1.0772900000000000,1.07776,0
2011-08-03,1.0777700000000000,1.0784200000000000,1.0678,1.0771900000000000,0
2011-08-04,1.07715,1.07769,1.0447900000000000,1.0447900000000000,34736600000
2011-08-05,1.04481,1.0525800000000000,1.03755,1.044,0
2011-08-08,1.04124,1.04362,1.01799,1.0187,0
2011-08-09,1.0188,1.0412300000000000,0.99265,1.0388700000000000,0
2011-08-10,1.0388900000000000,1.03906,1.0150300000000000,1.0150700000000000,0
2011-08-11,1.01511,1.03576,1.01108,1.03426,0
2011-08-12,1.03424,1.03598,1.02452,1.0346800000000000,0
2011-08-15,1.03661,1.05114,1.03606,1.05084,0
2011-08-16,1.05084,1.05087,1.04056,1.0468,0
2011-08-17,1.04682,1.06006,1.04322,1.0536300000000000,0
2011-08-18,1.05361,1.05566,1.0352,1.03741,0
2011-08-19,1.03748,1.04796,1.03146,1.04034,0
2011-08-22,1.03826,1.04719,1.0361800000000000,1.03957,0
2011-08-23,1.03955,1.05329,1.03853,1.0526,0
2011-08-24,1.0526,1.0526,1.04475,1.04654,0
2011-08-25,1.04655,1.05125,1.04164,1.0438400000000000,0
2011-08-26,1.04376,1.0591,1.04352,1.05663,0
2011-08-29,1.05679,1.0678300000000000,1.05597,1.0676700000000000,20435500000
2011-08-30,1.06766,1.07198,1.06206,1.06732,80090610000
2011-08-31,1.06732,1.0720100000000000,1.06511,1.06863,79026743000
2011-09-01,1.0686,1.07641,1.06588,1.07207,0
2011-09-02,1.0721100000000000,1.0732,1.06253,1.06415,0
2011-09-05,1.06073,1.06091,1.05079,1.0511,0
2011-09-06,1.05108,1.06239,1.0481200000000000,1.04885,0
